,station_id,time_of_day,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,time_interval,bike_uptime,dock_uptime,day_of_week,last_updated_hour,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
2945,3595,Peak Weekday Evenings,0.0,240,240,240,368898135943,446,108,3766,0,0,2400,0.7833333333333333,1.0,480,4200,,2.0,15.0,,3595.0,,2018-10-25 01:15:52 PM,40.760339,,-73.9222427,,35 St & Broadway,,35 St & Broadway,1.0,In Service,False,18.0
2946,3595,Peak Weekday Mornings,0.0,359,359,359,551796354732,1207,194,5061,0,6,3590,0.7827298050139275,1.0,720,2872,,2.0,15.0,,3595.0,,2018-10-25 01:15:52 PM,40.760339,,-73.9222427,,35 St & Broadway,,35 St & Broadway,1.0,In Service,False,18.0
2947,3595,Peak Weekends,0.0,720,720,720,1106677880376,1627,475,10858,0,6,7200,0.8041666666666667,1.0,3957,10453,,2.0,15.0,,3595.0,,2018-10-25 01:15:52 PM,40.760339,,-73.9222427,,35 St & Broadway,,35 St & Broadway,1.0,In Service,False,18.0
2948,3596,Other,0.0,2980,2980,2980,4580389240693,41585,1071,13964,0,62,29800,1.0,0.8389261744966443,8481,31900,,10.0,8.0,,3596.0,,2018-10-25 01:14:24 PM,40.6642406,,-73.9574686,,Sullivan Pl & Bedford Ave,,Sullivan Pl & Bedford Ave,1.0,In Service,False,19.0
2949,3596,Peak Weekday Evenings,0.0,240,240,240,368896396595,3038,88,1434,0,12,2400,1.0,0.9666666666666668,480,4200,,10.0,8.0,,3596.0,,2018-10-25 01:14:24 PM,40.6642406,,-73.9574686,,Sullivan Pl & Bedford Ave,,Sullivan Pl & Bedford Ave,1.0,In Service,False,19.0
2950,3596,Peak Weekday Mornings,0.0,359,359,359,551795212143,5199,109,1513,0,0,3590,1.0,0.8607242339832869,720,2872,,10.0,8.0,,3596.0,,2018-10-25 01:14:24 PM,40.6642406,,-73.9574686,,Sullivan Pl & Bedford Ave,,Sullivan Pl & Bedford Ave,1.0,In Service,False,19.0
2951,3596,Peak Weekends,0.0,720,720,720,1106675402188,11248,265,2167,0,12,7200,1.0,0.6291666666666667,3957,10453,,10.0,8.0,,3596.0,,2018-10-25 01:14:24 PM,40.6642406,,-73.9574686,,Sullivan Pl & Bedford Ave,,Sullivan Pl & Bedford Ave,1.0,In Service,False,19.0
2952,3597,Other,0.0,2980,2980,2980,4580405920193,18536,2223,53740,1,123,29800,0.8959731543624161,1.0,8481,31900,,2.0,22.0,,3597.0,,2018-10-25 01:16:25 PM,40.7577284,,-73.9166368,,43 St & Broadway,,43 St & Broadway,1.0,In Service,False,25.0
2953,3597,Peak Weekday Evenings,0.0,240,240,240,368897938531,875,184,4941,0,7,2400,0.775,1.0,480,4200,,2.0,22.0,,3597.0,,2018-10-25 01:16:25 PM,40.7577284,,-73.9166368,,43 St & Broadway,,43 St & Broadway,1.0,In Service,False,25.0
2954,3597,Peak Weekday Mornings,0.0,359,359,359,551796141308,2922,245,5808,0,29,3590,0.9944289693593314,1.0,720,2872,,2.0,22.0,,3597.0,,2018-10-25 01:16:25 PM,40.7577284,,-73.9166368,,43 St & Broadway,,43 St & Broadway,1.0,In Service,False,25.0
